"","year","inst","numx","men","women"
"923",1978,3,27,0,0
"924",1978,3,28,0,0
"925",1978,3,29,67,10
"926",1978,3,30,51,7
"927",1978,3,31,30,0
"928",1978,3,32,0,0
"929",1978,3,33,32,0
"930",1978,3,34,0,0
"931",1978,3,35,33,8
"932",1978,3,36,0,0
"933",1978,3,37,0,0
"934",1978,3,38,279,27.5
"935",1978,3,39,46.5,8.5
"936",1978,3,40,145,196
"937",1978,3,41,0,21
"938",1978,3,42,0,0
"939",1978,3,43,0,0
"940",1978,3,44,0,246
"941",1978,3,45,0,176
"942",1978,3,46,0,82
"943",1978,3,47,9,31
"944",1978,3,48,0,62
"945",1978,3,49,0,0
"946",1978,3,50,0,0
"947",1978,3,51,0,0
"948",1978,3,52,0,0
"949",1978,3,53,0,0
"950",1978,3,54,0,0
"951",1978,3,55,0,0
"952",1978,3,56,0,0
"953",1978,3,57,0,0
"954",1978,3,58,0,0
"955",1978,3,59,35.5,121
"956",1978,3,60,132,76
"957",1978,3,61,48,25
"958",1978,3,62,21,91
"959",1978,3,63,15,13.5
"960",1978,3,64,0,0
